Intent,User_Query,Response,Language,Category,Action_Required,User_Query_Normalized,Keywords
fayoum_hotels,أسعار فندق أوبرج الفيوم يا فندم,لحجز إقامتك في فندق أوبرج الفيوم، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اسعار فندق اوبرج الفيوم يا فندم,"اسعار, فندق, اوبرج, الفيوم, فندم"
fayoum_hotels,Room in فندق أوبرج الفيوم kindly,"To book your stay at فندق أوبرج الفيوم, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Room in فندق اوبرج الفيوم kindly,"room, فندق, اوبرج, الفيوم, kindly"
fayoum_hotels,أوضة في فندق كوم الدكة الآن,لحجز إقامتك في فندق كوم الدكة، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اوضه في فندق كوم الدكه الان,"اوضه, فندق, كوم, الدكه, الان"
fayoum_emergency,Security Fayoum,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Security Fayoum,"security, fayoum"
fayoum_hotels,Fayoum hotels kindly,"To book your stay at فندق كوم الدكة, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Fayoum hotels kindly,"fayoum, hotels, kindly"
fayoum_attractions,قصر قارون activities help,"You can find all details about قصر قارون, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,قصر قارون activities help,"قصر, قارون, activities, help"
fayoum_attractions,عايز أزور مدينة كرانبس يا فندم,يمكنك معرفة كافة التفاصيل عن مدينة كرانبس والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,عايز ازور مدينه كرانبس يا فندم,"ازور, مدينه, كرانبس, فندم"
fayoum_attractions,ماجيك ليك photos help,"You can find all details about ماجيك ليك, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,ماجيك ليك photos help,"ماجيك, ليك, photos, help"
fayoum_emergency,بلاغ الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,بلاغ الفيوم مساعده,"بلاغ, الفيوم, مساعده"
fayoum_emergency,حادث الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,حادث الفيوم مساعده,"حادث, الفيوم, مساعده"
fayoum_emergency,شرطة الفيوم,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,شرطه الفيوم,"شرطه, الفيوم"
fayoum_emergency,شرطة الفيوم من فضلك,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,شرطه الفيوم من فضلك,"شرطه, الفيوم, فضلك"
fayoum_hotels,فندق زاد المسافر address now,"To book your stay at فندق زاد المسافر, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,فندق زاد المسافر address now,"فندق, زاد, المسافر, address, now"
fayoum_attractions,أنشطة وادي الحيتان,يمكنك معرفة كافة التفاصيل عن وادي الحيتان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه وادي الحيتان,"انشطه, وادي, الحيتان"
fayoum_attractions,رحلة بحيرة قارون,يمكنك معرفة كافة التفاصيل عن بحيرة قارون والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,رحله بحيره قارون,"رحله, بحيره, قارون"
fayoum_hotels,أسعار فندق كوم الدكة مساعدة,لحجز إقامتك في فندق كوم الدكة، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,اسعار فندق كوم الدكه مساعده,"اسعار, فندق, كوم, الدكه, مساعده"
fayoum_emergency,مستشفى الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,مستشفي الفيوم مساعده,"مستشفي, الفيوم, مساعده"
fayoum_emergency,Doctor Fayoum,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Doctor Fayoum,"doctor, fayoum"
fayoum_emergency,Fayoum ambulance now,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum ambulance now,"fayoum, ambulance, now"
fayoum_emergency,Fayoum ambulance,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum ambulance,"fayoum, ambulance"
fayoum_attractions,عايز أزور مدينة كرانبس لو سمحت,يمكنك معرفة كافة التفاصيل عن مدينة كرانبس والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,عايز ازور مدينه كرانبس لو سمحت,"ازور, مدينه, كرانبس, سمحت"
fayoum_hotels,بيوم ليك سايد ريزورت rates now,"To book your stay at بيوم ليك سايد ريزورت, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,بيوم ليك سايد ريزورت rates now,"بيوم, ليك, سايد, ريزورت, rates, now"
fayoum_hotels,Room in فندق زاد المسافر ASAP,"To book your stay at فندق زاد المسافر, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Room in فندق زاد المسافر ASAP,"room, فندق, زاد, المسافر, asap"
fayoum_emergency,Pharmacy Fayoum ASAP,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Pharmacy Fayoum ASAP,"pharmacy, fayoum, asap"
fayoum_emergency,إسعاف الفيوم الآن,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,اسعاف الفيوم الان,"اسعاف, الفيوم, الان"
fayoum_emergency,نجدة الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,نجده الفيوم مساعده,"نجده, الفيوم, مساعده"
fayoum_attractions,قصر قارون location please,"You can find all details about قصر قارون, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,قصر قارون location please,"قصر, قارون, location"
fayoum_attractions,مدينة كرانبس location,"You can find all details about مدينة كرانبس, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,مدينه كرانبس location,"مدينه, كرانبس, location"
fayoum_attractions,Visit شلالات الفيوم please,"You can find all details about شلالات الفيوم, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,Visit شلالات الفيوم please,"visit, شلالات, الفيوم"
fayoum_emergency,إسعاف الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,اسعاف الفيوم لو سمحت,"اسعاف, الفيوم, سمحت"
fayoum_attractions,مواعيد وادي الحيتان لو سمحت,يمكنك معرفة كافة التفاصيل عن وادي الحيتان والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,مواعيد وادي الحيتان لو سمحت,"مواعيد, وادي, الحيتان, سمحت"
fayoum_hotels,خدمات فنادق قرية تونس من فضلك,لحجز إقامتك في فنادق قرية تونس، يرجى الانتقال لصفحة الفنادق بالفيوم واختيار 'احجز الآن'.,Arabic,Services,open_fayoum_hotels,خدمات فنادق قريه تونس من فضلك,"خدمات, فنادق, قريه, تونس, فضلك"
fayoum_hotels,Room in فنادق قرية تونس ASAP,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Room in فنادق قريه تونس ASAP,"room, فنادق, قريه, تونس, asap"
fayoum_attractions,أنشطة قصر قارون من فضلك,يمكنك معرفة كافة التفاصيل عن قصر قارون والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه قصر قارون من فضلك,"انشطه, قصر, قارون, فضلك"
fayoum_emergency,مستشفى الفيوم الآن,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,مستشفي الفيوم الان,"مستشفي, الفيوم, الان"
fayoum_emergency,Fayoum hospital ASAP,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum hospital ASAP,"fayoum, hospital, asap"
fayoum_emergency,شرطة الفيوم من فضلك,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,شرطه الفيوم من فضلك,"شرطه, الفيوم, فضلك"
fayoum_hotels,Book فنادق قرية تونس kindly,"To book your stay at فنادق قرية تونس, please go to the Fayoum Hotels page and click 'Book Now'.",English,Services,open_fayoum_hotels,Book فنادق قريه تونس kindly,"book, فنادق, قريه, تونس, kindly"
fayoum_attractions,مدينة كرانبس trip help,"You can find all details about مدينة كرانبس, including hours and prices, on the Fayoum Attractions page.",English,Services,open_fayoum_attractions,مدينه كرانبس trip help,"مدينه, كرانبس, trip, help"
fayoum_emergency,Pharmacy Fayoum kindly,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Pharmacy Fayoum kindly,"pharmacy, fayoum, kindly"
fayoum_attractions,أنشطة قصر قارون لو سمحت,يمكنك معرفة كافة التفاصيل عن قصر قارون والمواعيد والأسعار من صفحة المعالم السياحية بالفيوم.,Arabic,Services,open_fayoum_attractions,انشطه قصر قارون لو سمحت,"انشطه, قصر, قارون, سمحت"
fayoum_emergency,Emergency Fayoum now,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Emergency Fayoum now,"emergency, fayoum, now"
fayoum_emergency,مستشفى الفيوم يا فندم,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,مستشفي الفيوم يا فندم,"مستشفي, الفيوم, فندم"
fayoum_emergency,نجدة الفيوم يا فندم,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,نجده الفيوم يا فندم,"نجده, الفيوم, فندم"
fayoum_emergency,Accident Fayoum help,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Accident Fayoum help,"accident, fayoum, help"
fayoum_emergency,بلاغ الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,بلاغ الفيوم مساعده,"بلاغ, الفيوم, مساعده"
fayoum_emergency,صيدلية الفيوم,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,صيدليه الفيوم,"صيدليه, الفيوم"
fayoum_emergency,Fayoum emergency,"For emergencies in Fayoum: Police (122), Ambulance (123). You can find the nearest hospital via the emergency map.",English,Emergency,display_fayoum_emergency,Fayoum emergency,"fayoum, emergency"
fayoum_emergency,مستشفى الفيوم مساعدة,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,مستشفي الفيوم مساعده,"مستشفي, الفيوم, مساعده"
fayoum_emergency,أمن الفيوم لو سمحت,للطوارئ في الفيوم: الشرطة (122)، الإسعاف (123). يمكنك رؤية أقرب مستشفى من خريطة الطوارئ.,Arabic,Emergency,display_fayoum_emergency,امن الفيوم لو سمحت,"امن, الفيوم, سمحت"
